----- Derivative of Residuals w.r.t design variable -----
Node #      R1_B                 R2_B                 R3_B                 R4_B
  167   -9.6973236579e-06   -5.6966300419e-06    2.4015456790e-05   -2.6013437275e-05
  168   -3.5783383348e-06   -2.5026995513e-06    9.6703592718e-06   -9.8045681901e-06
  169   -3.2191631264e-06   -2.5100123367e-06    2.2537700841e-06   -8.9018960309e-06
  170    2.0382874888e-05    4.7018365043e-05    7.8356139252e-04    8.2630479825e-05
  171    5.3282511941e-04    2.8609830793e-04    5.4060228671e-04    1.5596496585e-03
  172    4.3491117337e-03    6.6561989210e-03    7.9750637469e-03    1.3705910861e-02
  173   -3.6906944012e-04   -3.1726348950e-04   -6.1165742465e-04   -1.0541566983e-03
  174   -1.1603632757e-06   -1.0218986004e-06    3.4826125615e-07   -3.1470987684e-06
  175   -3.6444444953e-05   -3.0125935377e-05   -5.7969274347e-05   -1.0160867261e-04
  176    5.9050155421e-06   -9.5257108645e-06   -3.1750373953e-05    1.1543115810e-05
  177   -3.8459066469e-08   -6.1077468393e-08    3.2768196560e-08   -1.1965057301e-07
  178    5.6713312052e-06    1.8427245427e-06    7.1595340003e-06    1.5166738768e-05
  179   -3.9291327838e-06   -4.4379142864e-06    1.7570551361e-06   -1.0949300769e-05
  180   -1.0710147879e-07   -1.3001485143e-07    1.3151573370e-09   -3.1791747244e-07
  181    7.2716554257e-08    7.7534981451e-08    4.9084376345e-08    2.1189545097e-07
  182    1.9174772727e-05    1.6811182635e-05   -1.7292410873e-06    5.3351872280e-05
  183    1.4732412223e-05    3.8472183855e-07    3.1139587298e-06    3.4364049847e-05
  184    6.5658779632e-07    5.4925428375e-07   -3.3759490971e-07    1.8096972359e-06
  185    1.1419737530e-05    7.7531911410e-06    3.4412977312e-05    3.0239296698e-05
  186    1.5309785527e-05    1.1486588536e-05   -1.2522523623e-05    4.4663124225e-05
  187    7.7413315803e-07    9.4268171101e-07   -5.8219653325e-08    2.2887067182e-06
  188    2.1187712259e-04    4.1431590289e-04   -5.4321470791e-04    8.5512411315e-04
  189    2.2220739326e-04    2.4969444809e-04    1.2620710156e-03    7.0651765746e-04
  190    1.0827229896e-03    1.3783268505e-03    3.2903538388e-03    3.3476466313e-03
  191    2.3343390627e-04    1.6851338729e-04   -3.5102768609e-04    5.5399197794e-04
  192    8.2061500401e-06    2.3620264454e-06   -1.6696901718e-05    2.1140819120e-05
  193    2.9830629507e-06    1.7553256371e-06   -7.6261334133e-06    8.2824520384e-06
  194    1.2736554958e-05    1.8709468992e-05    2.1662198903e-05    3.8181195722e-05
  195    6.4190000001e-07    2.7702002243e-07   -3.2459110728e-06    1.8836700999e-06
  196    2.5892360894e-06    3.9991544104e-06   -2.0113356952e-06    7.1993347507e-06
  197    2.2558763752e-07   -3.0434949269e-07   -2.1292443589e-05    1.6761519030e-06
  198    4.2268902774e-06   -4.3903468727e-06    6.8522819277e-05    8.9990094200e-06
  199   -3.1454098864e-04   -1.8762416666e-04   -6.3133231748e-04   -9.0545383597e-04
  200    4.7236771216e-04    5.2648793416e-04   -1.0713416301e-04    1.4841460548e-03
  201    1.4299090057e-05    1.0343657855e-05   -9.9029794226e-06    4.1913767144e-05
  202    3.1250185466e-05    2.5380415914e-05    1.9458699510e-05    8.6680939891e-05
  203    2.3375255629e-05    2.0585770740e-05    2.7316729372e-07    6.5010448982e-05
  204   -1.3835438708e-05   -1.1664872009e-05    2.8131458890e-05   -3.9175621066e-05
  205   -2.3740110680e-06   -1.2028280077e-06    1.0120398543e-05   -6.2032189020e-06
  206    8.2609656623e-06    7.7740292396e-06   -6.3850283307e-06    2.4618409468e-05
  207   -1.1960021251e-05   -1.4571842347e-05    3.1203782104e-06   -3.1944583823e-05
  208    3.7893430312e-05    5.6297380889e-05    1.4216658302e-04    1.3639948632e-04
  209    3.6169218274e-04    1.0659350988e-04    1.4145943807e-04    9.8894167267e-04
  210   -1.5585513521e-05   -1.8236653692e-05    9.2866306245e-06   -4.3650741589e-05
  211    1.7479268314e-07   -2.8557832350e-06    2.0119963960e-05   -9.5076577560e-07
  212   -9.3528461800e-07   -8.3962122159e-07    3.6370990684e-07   -2.6143252915e-06
  213    8.2439646374e-06    6.3453270832e-06    2.4174096772e-05    2.3830018279e-05
  214   -3.5339851974e-03   -6.3546899542e-03   -1.2025514835e-03   -1.1251562661e-02
  215   -3.3791917966e-04    8.8015404540e-06   -1.0491890300e-03   -7.3439957671e-04
  216   -9.2152714849e-07   -8.4177446365e-07    3.1223556395e-08   -2.5340864890e-06
  217   -4.8218522693e-05   -6.4147893373e-05   -1.1364097295e-06   -1.5092296143e-04
  218   -4.1282691910e-05   -7.7441142020e-05   -2.8894743472e-04   -1.2745502524e-04
  219   -1.1902004194e-06   -9.2058137910e-07    3.4424592448e-07   -3.2306937256e-06
  220   -1.0831347339e-07   -9.9234611600e-08   -5.1392578176e-08   -3.0851622525e-07
  221    1.4178162542e-07    7.8101019665e-08    3.2050279496e-07    3.8918437947e-07
  222    3.3965680263e-04   -1.4448129461e-05    2.4606411292e-04    8.5719089950e-04
  223    1.2554118994e-05    1.6210669035e-05   -4.1570573290e-06    3.8249971649e-05
  224    4.8741657474e-06    1.1456078942e-07    2.1549250165e-05    1.2086040799e-05
  225    5.8851876751e-05    2.2660614765e-05   -2.2720201559e-05    1.6167808010e-04
  226    7.9198882797e-07    1.0961856725e-06    4.9926232343e-08    2.4322885073e-06
  227    1.3731718773e-04    2.5580361612e-04   -1.5800391559e-04    4.4196535610e-04
  228    1.5925649265e-04    7.9017741492e-05    5.0242511568e-04    5.0419541842e-04
  229    6.5533623684e-04    5.8446781186e-04    2.6328948599e-03    2.2108468674e-03
  230    1.3913462526e-04    3.5142047230e-04   -5.5701824502e-04    1.9941188023e-04
  231    1.5347282720e-05    2.1452053157e-05    9.6067394420e-06    4.4176717900e-05
  232   -1.7118309120e-05   -1.0178973869e-05   -7.2845369476e-05   -4.0859566844e-05
  233   -2.3526354942e-05   -1.9086698577e-05   -3.3193718374e-05   -6.7137362392e-05
  234   -1.0269276492e-04   -9.5867549495e-05   -8.7055019225e-05   -3.0136072440e-04
  235   -8.7507674150e-04   -7.3625368955e-04   -1.9491303088e-03   -2.1982085971e-03
  236    6.3757248580e-05    1.3257624195e-05   -2.4813412508e-05    1.7093282785e-04
  237    1.2455632459e-05    7.3562240531e-06   -7.5263977246e-06    3.5523668141e-05
  238    2.0056432125e-06   -1.6318247213e-06    1.7892586397e-05    3.8093828548e-06
  239    2.0197375402e-05    1.9731835472e-05    2.6106283965e-05    5.8534947344e-05
  240   -1.0062944675e-05   -7.1420546215e-06    1.2794371695e-05   -2.7862214970e-05
  241    2.7374859155e-06   -1.2467981351e-05    3.2694119890e-05   -4.4564244439e-07
  242   -4.0423886662e-07    8.9155830358e-07    9.5747227132e-07   -1.9894494083e-06
  243   -4.7101427950e-06   -2.6596041446e-06    6.0634938151e-06   -1.2586241753e-05
  244    5.8796711010e-05    1.1523717288e-05    4.1035134077e-05    1.4898366240e-04
  245   -4.1741213350e-06   -3.6954328004e-06    2.2192950592e-06   -1.1370658647e-05
  246   -1.5997132398e-04   -4.1555395169e-05   -3.8239782690e-04   -5.1816429309e-04
  247    7.6589953838e-05    1.0971505990e-03    5.2371602647e-04    4.7668406123e-04
  248   -4.8947957392e-07   -2.8601559525e-07    3.1584375647e-07   -1.2896443036e-06
  249    1.3983781883e-04    6.5736155896e-05    2.6769380735e-04    3.9010069827e-04
  250    1.8486570124e-05    1.4829564132e-05    1.1969756749e-05    5.0286446048e-05
  251    1.0194697667e-04    2.8972953396e-05    2.0130640405e-05    2.6839335827e-04
  252   -3.0552922663e-05    5.0533762872e-05   -1.9733311623e-04   -8.9712203647e-05
  253    3.0615722571e-04   -1.5825874710e-04    5.2213171219e-04    8.6835642281e-04
  254   -1.6844210512e-04   -1.1810256401e-04   -2.2176159024e-04   -4.6247133610e-04
  255   -4.8345159791e-05   -4.0291065773e-05   -8.8154334054e-06   -1.4389778773e-04
  256    6.1843814678e-04    1.1202822478e-04    2.2297483489e-03    1.6509044937e-03
  257    3.5495473294e-05   -2.5755335702e-05    5.0330661380e-05    1.0557762757e-04
  258    5.9955646551e-05    2.3295675368e-05    1.0587048472e-05    1.6938119967e-04
  259    1.8309160270e-05    1.1561291098e-05   -6.4661035498e-06    5.2907932732e-05
  260   -6.2491020431e-06   -6.3306156947e-06    3.9804703112e-06   -1.8678088098e-05
  261   -2.0988345648e-05   -2.5296072990e-05    1.7358514412e-05   -6.4340275436e-05
  262   -8.1456324588e-06    1.7722592566e-06    4.5323574889e-05   -1.6869562889e-05
  263    4.3308807856e-05    7.3743242763e-05    2.5444083155e-05    1.3207990909e-04
  264    1.2138717261e-05    6.3492263377e-06    2.6900532646e-05    3.0693808409e-05
  265    1.7258643103e-06   -1.1997610506e-06    6.0857013890e-05    2.5627851249e-06
  266   -1.7105549868e-06   -1.4953444047e-06    6.3409463102e-07   -4.6660927464e-06
  267   -1.7763689649e-06   -7.4351159055e-07    1.5902482300e-06   -4.5287008707e-06
  268    3.6819194863e-05    3.4033614282e-05    3.8315971831e-05    1.0550114290e-04
  269    1.8021072101e-06    6.0344108667e-06    3.4073294634e-05    8.4364907355e-06
  270    1.0054364114e-04    4.7934829331e-05   -2.2631117221e-05    2.7215506729e-04
  271   -1.2864821462e-04   -2.7310658140e-05   -3.8538919797e-04   -3.7411968697e-04
  272   -2.1141187881e-04   -6.3768797193e-05   -2.7768610307e-04   -5.4327089694e-04
  273   -2.6418860215e-05   -2.6769990275e-05    5.6356968890e-06   -7.8284210922e-05
  274   -1.2010586632e-06   -4.8466386332e-07    4.0332300094e-06   -6.1100781013e-06
  275    1.6364491965e-04   -3.6534307046e-04    1.0023975082e-03    5.5591271286e-04
  276    7.6075624727e-05    7.5740699689e-05    2.5752891228e-04    2.5487897240e-04
  277    3.5999060027e-05    6.6248089387e-05   -2.3296859315e-05    1.1296711157e-04
  278    2.5321070633e-05    1.0400293521e-05   -2.3355753348e-05    7.2073426751e-05
  279   -2.7453984795e-06   -8.4489510998e-07   -2.8632362623e-06   -7.3893148106e-06
  280   -2.5991026906e-06   -1.8680910253e-06    2.4170117388e-06   -7.1673987503e-06
  281    3.0672161777e-06    4.3891090303e-06    3.3068664653e-06    9.5952827796e-06
  282    8.0156084126e-06    1.4580448438e-05    1.5589175881e-05    2.6731125863e-05
  283   -1.3526127336e-06   -1.5420589187e-06    3.4486395971e-07   -3.8319281212e-06
  284    1.3088903566e-07    2.9721816309e-06    3.0029536774e-05    2.5743923470e-06
  285   -3.0224551921e-05    1.0476391701e-04   -9.0820488099e-04   -2.3822130075e-05
  286   -8.7158870782e-06   -9.6060236916e-06    3.2252298611e-06   -2.3995159763e-05
  287    4.5142414382e-06    7.2632964436e-06    6.3908542273e-06    4.2495148778e-06
  288    1.0644782710e-04    4.7462363164e-05    2.9568975405e-04    3.0053868303e-04
  289    1.0489177224e-04    5.4070890712e-05   -5.0993096548e-06    3.0034038486e-04
  290   -2.4266548367e-06   -2.2459552087e-06   -1.4445488263e-06   -7.0234853934e-06
  291   -2.8257444903e-06   -1.6186465455e-06    3.7094286163e-06   -7.5272146534e-06
  292    4.2880953390e-06    2.3597490736e-06    5.2293805218e-06    1.1186199140e-05
  293   -1.9849413799e-05    1.2119288425e-04   -3.2980606606e-04   -2.2724549212e-05
  294   -6.7228272345e-06   -9.2481608757e-06   -1.7373249227e-07   -1.8435363871e-05
  295    5.5623395142e-05    1.1600105105e-04    4.9731361368e-05    1.7490972815e-04
  296    1.7295367296e-04    4.0699254717e-05    8.8352806029e-06    4.6498032015e-04
  297    1.7981343754e-04    3.0002413411e-05    7.7222149666e-05    4.6853566950e-04
  298   -1.7726373822e-05   -1.0877829644e-05    8.2458239435e-06   -4.7905272394e-05
  299    5.8095826504e-06    1.0073162258e-05    1.0179559788e-05    1.9863733822e-05
  300    4.3394037078e-05    8.0141456652e-05    1.7002330169e-04    1.4010887284e-04
  301    1.6418627462e-04    3.5391196698e-05    1.9750924923e-04    4.3008387155e-04
  302   -1.1005908906e-05   -9.6220330800e-06    8.2663402134e-06   -3.1309826091e-05
  303   -1.0718048570e-05   -7.1208050697e-06    3.8624261916e-05   -2.9678756186e-05
  304   -5.6003392314e-06   -4.9412384321e-06    2.1091710799e-05   -1.6217079390e-05
  305    5.2424080611e-06    6.9346124897e-06    7.6340761908e-05    1.6346407748e-05
  306   -2.7704908655e-06    4.7811480315e-06    1.7273265209e-05   -3.5999515129e-06
  307   -2.2021982076e-06   -9.3247141947e-07    1.8337622174e-05   -5.5874401940e-06
  308   -2.5256330250e-05    3.5751137735e-04    6.6661589261e-04    8.0946221069e-05
